page,id,text,confidence,bbox
1,1,HOME MASTER HARDWARE&,0.9543551206588745,"[[351.0, 231.0], [838.0, 244.0], [837.0, 286.0], [350.0, 273.0]]"
1,2,ELECTRICAL,0.9947488903999329,"[[486.0, 279.0], [693.0, 288.0], [691.0, 330.0], [484.0, 320.0]]"
1,3,"U13/EG BANDAR SETIA ALAM,",0.8058014512062073,"[[374.0, 364.0], [808.0, 373.0], [808.0, 409.0], [373.0, 400.0]]"
1,4,"40170 BANDAR SETIA ALA,",0.8556973934173584,"[[385.0, 410.0], [794.0, 419.0], [793.0, 454.0], [384.0, 446.0]]"
1,5,SELANGOR.,0.9760240912437439,"[[498.0, 456.0], [678.0, 461.0], [677.0, 496.0], [497.0, 491.0]]"
1,6,CompanyReg No.SA0371155t-P,0.872848629951477,"[[355.0, 502.0], [823.0, 504.0], [823.0, 546.0], [355.0, 544.0]]"
1,7,GSTRegNo.0016375t1168,0.8927865624427795,"[[388.0, 556.0], [785.0, 558.0], [785.0, 594.0], [388.0, 592.0]]"
1,8,TAXIVOICE,0.8816022872924805,"[[489.0, 623.0], [684.0, 623.0], [684.0, 658.0], [489.0, 658.0]]"
1,9,Involce No.,0.8781252503395081,"[[251.0, 670.0], [418.0, 680.0], [416.0, 715.0], [249.0, 706.0]]"
1,10,CS67832,0.94383704662323,"[[468.0, 681.0], [609.0, 681.0], [609.0, 717.0], [468.0, 717.0]]"
1,11,Date:,0.9730364680290222,"[[250.0, 718.0], [345.0, 726.0], [342.0, 765.0], [247.0, 757.0]]"
1,12,22/12/201714:03,0.9571755528450012,"[[468.0, 729.0], [705.0, 729.0], [705.0, 765.0], [468.0, 765.0]]"
1,13,Caahler#:,0.8676438927650452,"[[251.0, 770.0], [404.0, 778.0], [402.0, 815.0], [249.0, 808.0]]"
1,14,CASHIER,0.9884770512580872,"[[468.0, 783.0], [607.0, 783.0], [607.0, 812.0], [468.0, 812.0]]"
1,15,RM,0.9616513252258301,"[[720.0, 833.0], [781.0, 833.0], [781.0, 873.0], [720.0, 873.0]]"
1,16,Code,0.9638065099716187,"[[831.0, 831.0], [919.0, 831.0], [919.0, 871.0], [831.0, 871.0]]"
1,17,24MMX7YM.QNE TAPE,0.8700153231620789,"[[248.0, 881.0], [575.0, 888.0], [575.0, 923.0], [247.0, 916.0]]"
1,18,1.00,0.9857816696166992,"[[282.0, 922.0], [350.0, 928.0], [346.0, 968.0], [278.0, 961.0]]"
1,19,15.90,0.95879727602005,"[[466.0, 934.0], [612.0, 929.0], [613.0, 966.0], [467.0, 971.0]]"
1,20,15.90,0.9865275621414185,"[[699.0, 926.0], [782.0, 932.0], [779.0, 972.0], [696.0, 966.0]]"
1,21,SR,0.6801407337188721,"[[869.0, 929.0], [922.0, 929.0], [922.0, 965.0], [869.0, 965.0]]"
1,22,Subtotai:,0.8684702515602112,"[[391.0, 983.0], [529.0, 988.0], [528.0, 1025.0], [390.0, 1020.0]]"
1,23,15.90,0.9890535473823547,"[[697.0, 985.0], [781.0, 985.0], [781.0, 1023.0], [697.0, 1023.0]]"
1,24,Total Excl.of GST,0.8721470236778259,"[[278.0, 1037.0], [523.0, 1044.0], [522.0, 1080.0], [277.0, 1073.0]]"
1,25,15.00,0.9745389819145203,"[[697.0, 1044.0], [781.0, 1044.0], [781.0, 1081.0], [697.0, 1081.0]]"
1,26,Tota Incl.or GST,0.740545392036438,"[[286.0, 1087.0], [521.0, 1096.0], [520.0, 1132.0], [285.0, 1122.0]]"
1,27,15.90,0.9559199213981628,"[[697.0, 1094.0], [781.0, 1094.0], [781.0, 1131.0], [697.0, 1131.0]]"
1,28,Total Amt Rounded,0.9156023859977722,"[[263.0, 1141.0], [523.0, 1150.0], [522.0, 1186.0], [262.0, 1177.0]]"
1,29,15.90,0.9938523173332214,"[[695.0, 1150.0], [777.0, 1150.0], [777.0, 1181.0], [695.0, 1181.0]]"
1,30,Payment:,0.9758046865463257,"[[379.0, 1189.0], [523.0, 1194.0], [522.0, 1232.0], [377.0, 1227.0]]"
1,31,0009,0.836090624332428,"[[695.0, 1196.0], [775.0, 1196.0], [775.0, 1227.0], [695.0, 1227.0]]"
1,32,Change Due:,0.9113438129425049,"[[332.0, 1233.0], [521.0, 1238.0], [520.0, 1279.0], [331.0, 1275.0]]"
1,33,34.10,0.981876015663147,"[[691.0, 1237.0], [777.0, 1237.0], [777.0, 1275.0], [691.0, 1275.0]]"
1,34,Total tem61,0.806369423866272,"[[247.0, 1287.0], [460.0, 1294.0], [459.0, 1336.0], [245.0, 1329.0]]"
1,35,G,0.9705212116241455,"[[252.0, 1348.0], [281.0, 1348.0], [281.0, 1383.0], [252.0, 1383.0]]"
1,36,AmouniRM),0.8235928416252136,"[[493.0, 1352.0], [670.0, 1352.0], [670.0, 1390.0], [493.0, 1390.0]]"
1,37,SR,0.9267367720603943,"[[254.0, 1404.0], [306.0, 1404.0], [306.0, 1440.0], [254.0, 1440.0]]"
1,38,@6%,0.8351809978485107,"[[363.0, 1406.0], [449.0, 1406.0], [449.0, 1446.0], [363.0, 1446.0]]"
1,39,15.00,0.9758928418159485,"[[590.0, 1408.0], [672.0, 1408.0], [672.0, 1446.0], [590.0, 1446.0]]"
1,40,0.90,0.9916903972625732,"[[800.0, 1410.0], [865.0, 1410.0], [865.0, 1444.0], [800.0, 1444.0]]"
1,41,ANY GOOOS RETURN PLEASE DQ WITHIN,0.8892424702644348,"[[263.0, 1631.0], [871.0, 1640.0], [871.0, 1675.0], [262.0, 1667.0]]"
1,42,7 OAYS WITH ORIGINALRECEIPT TQ,0.8729730248451233,"[[286.0, 1679.0], [846.0, 1688.0], [846.0, 1723.0], [285.0, 1714.0]]"
2,1,LIGHTROOM GALLERY SDN BHD,0.9639829397201538,"[[329.0, 251.0], [761.0, 278.0], [758.0, 313.0], [327.0, 287.0]]"
2,2,"No:28,JALAN ASTANA 1C",0.9208216667175293,"[[381.0, 289.0], [700.0, 305.0], [698.0, 334.0], [379.0, 318.0]]"
2,3,"BANDAR BUKIT RAJA, 41050",0.9228517413139343,"[[373.0, 316.0], [714.0, 334.0], [713.0, 363.0], [371.0, 345.0]]"
2,4,"KLANG SELANGOR D.E, MALAYSIA",0.9490217566490173,"[[343.0, 341.0], [742.0, 363.0], [740.0, 392.0], [342.0, 370.0]]"
